MOVIE TITLE;DIRECTOR;ACTORS;MOVIE GENRE;PREMIERE DATE;MOVIE DURATION;LANGUAGE;MOVIE CONTENT
SHAZAM! CƠN THỊNH NỘ CỦA CÁC VỊ THẦN;David F. Sandberg;Zachary Levi, Asher Angel, Jack Dylan Grazer, Adam Brody, Ross Butler, Meagan Good, D.J. Cotrona, Grace Caroline Currey, Faithe Herman, Ian Chen, Jovan Armand, Marta Milans, Cooper Andrews, Djimon Hounsou;Hành Động, Phiêu Lưu;17/03/2023;130;Tiếng Anh - Phụ đề Tiếng Việt;Một tác phẩm từ New Line Cinema mang tên “Shazam! Fury of the Gods,” tiếp tục câu chuyện về chàng trai Billy Batson, và bản ngã Siêu anh hùng trưởng thành của mình sau khi hô cụm từ “SHAZAM !,” ma thuật.
THANH GƯƠM DIỆT QUỶ: ĐƯỜNG ĐẾN LÀNG RÈN GƯƠM;Haruo Sotozaki;Natsuki Hanae, Akari Kito, Hiro Shimono, Yoshitsugu Matsuoka, Katsuyuki Konishi, Kengo Kawanishi, Kana Hanazawa;Hành Động, Hoạt Hình;22/03/2023;110;Tiếng Nhật - Phụ đề Tiếng Việt;Thanh Gươm Diệt Quỷ: Đường Đến Làng Rèn Gươm sẽ tái hiện trận chiến khốc liệt nhất tại Phố Đèn Đỏ...
CREED III: TAY ĐẤM HUYỀN THOẠI;Michael B. Jordan;Michael B. Jordan, Tessa Thompson, Jonathan Majors, Wood Harris, Phylicia Rashad, Mila Davis-Kent, Jose Benavidez, Selenis Leyva, Florian Munteanu;Tâm Lý;24/03/2023;117;Tiếng Anh - Phụ đề Tiếng Việt;Sau khi thống trị thế giới quyền anh, Adonis Creed đã phát triển mạnh mẽ trong cả sự nghiệp và...
CUỘC CHIẾN BẤT TỬ;Roman Artemiev;iktor Dobronravov, Ekaterina Tarasova, Vladimir Sychov, Elizaveta Boyarskaya, Roman Artemiev, Irina Savina, Elena Shulman, Anton Eldarov;Hoạt Hình;24/03/2023;76;Lồng tiếng Việt;How To Save The Immortal là bộ phim về nhân vật phản diện nổi tiếng nhất trong truyện cổ tích Nga. Bộ phim được...
PHIM ÂM NHẠC WINNER 2022: THE CIRCLE;Jung Chi-young;YOON, JINU, MINO, HOONY;Hòa nhạc, Phim tài liệu;24/03/2023;192;Tiếng Hàn - Phụ đề tiếng Việt;Guess who’s back? WINNER đã trở lại cùng đội hình đầy đủ 4 thành viên và mang đến bộ phim tài liệu đầu tiên mang tên WINNER 2022 Concert The Circle: The Movie. Đây sẽ là nơi truyền tải những...
CUỘC CHIẾN ĐA VŨ TRỤ (CHIẾU LẠI);Daniel Kwan, Daniel Scheinert;Dương Tử Quỳnh, Quan Kế Huy, Stephanie Hsu, James Hong, Jamie Lee Curtis,...;Khoa Học Viễn Tưởng, Thần thoại;17/03/2023;139;Tiếng Anh - Phụ đề Tiếng Việt;Một phụ nữ trung niên nhập cư người Trung Quốc bị cuốn vào một cuộc phiêu lưu điên cuồng, nơi cô ấy một mình giải cứu thế giới bằng cách khám phá các vũ trụ khác và các bản thể khác của chính cô.
NGƯỜI KIẾN VÀ CHIẾN BINH ONG: THẾ GIỚI LƯỢNG TỬ;Peyton Reed;Paul Rudd, Evangeline Lilly, Jonathan Majors;Hành Động, Phiêu Lưu;17/02/2023;124;Tiếng Anh - Phụ đề Tiếng Việt;Scott Lang và Hope Van Dyne trở lại tiếp tục cuộc phiêu lưu của họ với vai trò Người Kiến và Chiến binh Ong. Cùng với cha mẹ của Hope, họ sẽ có chuyến khám phá Lượng Tử Giới, gặp gỡ những sinh vật mới lạ và bắt đầu cuộc hành trình vào thế giới lượng tử.
ĐẢO TỘI ÁC;Eu Ho;Alif Satar, Amelia Henderson, Ikmal Amry, Evie Feroz;Kinh Dị;31/03/2023;112;Tiếng Anh & Tiếng Malay - Phụ đề Tiếng Việt;Nhóm du khách trẻ vô tình phá bỏ phong ấn của con quái vật khát máu khi đến tham quan một hòn đảo cấm không dân địa phương nào dám đặt chân đến. Liệu họ có thể bình an thoát khỏi hay đó sẽ là nơi chôn vùi tất cả?
